route_no,hour_of_day,day_type,occupancy_pct,avg_wait_time_min,traffic_score,event_impact_score,active_buses_on_route,route_demand_index,temp_celsius,buses_to_add
21C,9,0,1.224,19.3,4.25,0.0,11,0.9,23.0,5
11D,16,1,0.246,9.8,1.78,0.0,14,0.7,38.5,0
11D,16,0,0.47,10.2,1.31,0.0,12,0.7,22.7,0
5C,19,0,1.42,20.4,4.78,0.0,10,0.85,30.4,5
45A,18,1,0.825,18.4,4.77,0.0,13,0.91,33.0,0
29C,11,1,0.782,9.2,1.0,0.0,10,0.88,32.6,0
32B,4,0,0.2,7.0,1.36,0.0,11,0.68,40.1,0
23C,12,0,0.785,13.2,3.24,0.0,17,0.92,40.7,0
104,6,0,0.449,5.4,1.4,0.0,12,0.8,22.9,0
M70,1,1,0.2,8.2,1.59,0.0,9,0.6,37.4,0
12E,9,1,0.989,14.8,4.09,0.0,10,0.88,28.5,3
29B,9,0,0.81,19.0,4.8,0.0,14,0.7,24.6,0
29C,22,0,0.538,8.8,2.01,0.31,10,0.88,23.3,0
45A,4,0,0.368,2.0,1.0,0.0,15,0.91,37.9,0
15G,13,0,0.585,14.6,3.09,0.0,9,0.72,26.7,0
11D,6,0,0.807,6.6,1.7,0.43,10,0.7,36.0,0
11D,3,1,0.464,8.8,1.18,0.0,11,0.7,37.0,0
45A,22,0,0.488,5.9,1.46,0.0,11,0.91,27.2,0
27D,4,0,0.27,3.8,1.07,0.0,14,0.75,23.7,0
29C,13,1,0.454,14.1,2.3,0.0,12,0.88,33.1,0
11D,9,0,0.869,16.2,4.14,0.0,15,0.7,27.4,0
29C,17,0,1.076,13.5,3.96,0.0,14,0.88,28.2,4
M70,18,0,0.679,17.8,4.21,0.0,14,0.6,32.9,0
101,17,0,1.434,16.6,4.19,0.0,13,0.85,41.9,5
M70,3,1,0.244,8.1,1.42,0.0,10,0.6,27.8,0
47A,19,0,1.37,19.3,4.92,0.0,16,0.95,27.6,5
23C,6,0,0.389,2.0,1.35,0.0,17,0.92,25.9,0
45A,20,1,0.815,14.9,3.73,0.0,12,0.91,41.3,0
29B,11,0,0.792,4.9,1.39,0.15,10,0.7,36.9,0
15G,14,0,0.498,8.6,1.61,0.0,11,0.72,30.2,0
9A,11,0,0.707,9.3,1.01,0.0,11,0.93,33.0,0
47A,13,0,0.978,7.8,2.45,0.0,17,0.95,23.8,2
32B,1,1,0.2,8.7,1.5,0.0,13,0.68,32.5,0
29C,3,0,0.2,5.6,1.85,0.0,15,0.88,35.2,0
27D,18,0,1.045,18.5,4.42,0.0,14,0.75,38.7,2
M70,13,0,0.625,8.3,2.39,0.0,11,0.6,28.0,0
102,0,0,0.306,9.2,1.87,0.0,11,0.65,41.2,0
29B,4,0,0.2,5.9,1.54,0.0,13,0.7,24.8,0
102,6,1,0.254,7.0,1.0,0.0,12,0.65,28.4,0
45A,0,0,0.357,11.2,1.98,0.0,13,0.91,35.3,0
19C,11,0,0.645,6.9,1.19,0.0,15,0.78,36.6,0
11D,10,0,0.819,17.8,3.93,0.0,11,0.7,32.5,0
104,22,0,0.633,5.5,1.0,0.0,13,0.8,41.5,0
45A,22,0,0.628,7.0,1.94,0.0,13,0.91,34.0,0
21G,9,0,1.015,13.6,3.59,0.11,17,0.92,36.0,5
19C,10,1,1.014,19.0,3.79,0.35,12,0.78,31.1,4
9A,22,1,0.385,6.4,1.27,0.0,13,0.93,23.2,0
104,0,0,0.2,5.1,1.68,0.21,10,0.8,35.2,0
70,5,0,0.222,4.0,1.0,0.0,16,0.86,25.0,0
15G,6,0,0.356,4.0,1.16,0.0,12,0.72,23.2,0
21C,6,0,0.723,11.1,1.77,0.1,13,0.9,25.0,0
29C,2,0,0.2,10.2,2.29,0.0,15,0.88,38.6,0
102,1,0,0.2,9.8,2.1,0.0,9,0.65,35.6,0
11D,5,1,0.2,6.9,1.46,0.0,15,0.7,28.8,0
19C,22,0,0.757,7.0,2.01,0.0,13,0.78,29.6,0
101,2,0,0.2,11.5,2.15,0.25,13,0.85,33.1,0
19C,5,0,0.231,5.5,1.28,0.0,13,0.78,32.8,0
104,22,0,0.574,9.2,1.7,0.0,12,0.8,23.6,0
45A,2,0,0.2,6.5,1.04,0.0,17,0.91,39.1,0
104,2,0,0.2,6.1,1.42,0.0,14,0.8,32.4,0
29B,15,0,0.727,7.1,1.33,0.0,13,0.7,22.9,0
102,15,1,0.257,10.1,1.32,0.0,8,0.65,35.6,0
23C,22,1,0.355,6.8,1.8,0.0,13,0.92,35.4,0
104,23,0,0.46,7.1,1.0,0.0,10,0.8,24.3,0
11D,12,0,0.734,14.2,2.52,0.0,10,0.7,32.9,0
101,14,1,0.481,5.8,1.43,0.0,12,0.85,35.7,0
32B,21,1,0.714,10.8,1.86,0.0,8,0.68,25.6,0
104,17,1,0.601,18.8,4.38,0.0,13,0.8,23.2,0
29B,1,0,0.21,2.0,1.61,0.0,14,0.7,41.9,0
29C,15,1,0.607,9.8,1.7,0.0,14,0.88,31.7,0
11D,10,0,1.318,8.4,2.63,0.0,13,0.7,33.4,5
104,14,0,0.582,10.3,1.98,0.0,15,0.8,30.2,0
27D,15,0,0.37,2.6,1.17,0.0,12,0.75,34.0,0
9A,1,0,0.2,5.2,1.5,0.0,16,0.93,24.1,0
29B,22,0,0.556,10.7,1.26,0.0,11,0.7,30.1,0
11D,2,1,0.481,6.2,1.59,0.46,11,0.7,25.3,0
29C,11,1,0.893,8.8,1.03,0.0,10,0.88,30.5,0
29C,10,0,1.003,10.0,3.13,0.0,13,0.88,39.3,2
9A,3,0,0.2,11.8,2.09,0.0,11,0.93,33.3,0
101,14,0,0.881,4.7,1.11,0.38,12,0.85,29.1,0
70,6,0,0.667,4.7,1.0,0.0,16,0.86,23.7,0
32B,18,1,0.565,19.6,4.63,0.0,14,0.68,36.6,0
M70,9,1,0.867,15.6,3.87,0.0,10,0.6,36.9,1
104,14,1,0.56,4.3,1.69,0.0,13,0.8,23.2,0
45A,21,0,1.147,9.4,1.04,0.0,14,0.91,32.9,4
11D,6,1,0.34,4.2,1.27,0.0,15,0.7,23.1,0
32B,23,0,0.54,6.8,1.85,0.0,13,0.68,39.2,0
32B,18,1,0.452,21.7,5.0,0.0,10,0.68,39.2,0
9A,12,1,0.633,9.6,2.64,0.0,16,0.93,25.4,0
27D,6,1,0.321,11.7,1.98,0.0,9,0.75,34.7,0
23C,4,0,0.2,3.4,1.89,0.0,13,0.92,36.1,0
21G,23,0,0.654,3.7,1.0,0.0,17,0.92,34.6,0
27D,14,0,0.822,6.8,1.57,0.5,14,0.75,23.1,0
45A,11,0,0.698,11.4,1.35,0.0,17,0.91,24.8,0
27D,21,0,0.816,15.9,2.42,0.0,9,0.75,30.4,0
29B,4,1,0.376,8.8,1.1,0.0,10,0.7,28.2,0
5C,4,1,0.2,14.6,1.82,0.0,10,0.85,39.2,0
47A,8,0,1.282,15.7,3.77,0.0,15,0.95,30.6,4
101,10,1,0.826,13.2,3.17,0.0,11,0.85,38.0,0
11D,16,0,0.645,4.8,1.54,0.53,10,0.7,37.7,0
23C,13,0,1.15,9.9,2.49,0.52,12,0.92,28.7,5
12E,7,0,1.107,13.6,3.49,0.0,12,0.88,26.5,5
102,19,1,0.602,19.0,4.26,0.0,9,0.65,28.0,0
32B,22,0,0.459,7.2,1.35,0.0,10,0.68,36.8,0
29C,11,0,1.041,5.6,1.0,0.0,11,0.88,40.7,3
21G,22,1,0.457,3.2,1.53,0.12,12,0.92,37.9,0
9A,19,0,1.037,15.6,4.2,0.0,16,0.93,27.5,5
45A,11,1,0.501,3.8,1.46,0.0,14,0.91,41.0,0
47A,22,1,0.415,12.2,2.45,0.0,15,0.95,25.8,0
47A,0,1,0.517,6.8,1.0,0.23,11,0.95,40.5,0
15G,6,1,0.601,8.3,1.71,0.0,9,0.72,28.0,0
19C,23,0,0.376,6.2,1.22,0.0,14,0.78,31.4,0
101,1,0,0.247,3.9,1.0,0.0,13,0.85,34.2,0
102,20,0,0.743,13.8,3.44,0.0,13,0.65,40.2,0
47A,23,0,0.855,3.9,1.63,0.68,15,0.95,39.8,0
23C,17,0,1.105,12.9,4.17,0.0,17,0.92,26.5,5
70,13,1,0.2,6.1,2.07,0.0,11,0.86,30.6,0
29B,10,1,0.735,16.8,3.29,0.0,12,0.7,28.8,0
23C,15,0,0.773,4.1,1.36,0.0,16,0.92,37.0,0
12E,15,0,0.295,9.5,2.28,0.0,15,0.88,27.8,0
11D,19,0,1.006,18.1,4.27,0.0,12,0.7,34.4,2
47A,11,0,0.629,4.8,1.72,0.0,14,0.95,29.8,0
29C,1,0,0.412,8.0,1.77,0.0,11,0.88,28.2,0
19C,13,0,0.849,9.7,2.74,0.28,11,0.78,33.7,0
70,20,0,1.222,16.9,3.72,0.0,12,0.86,32.7,5
29B,5,0,0.213,7.0,1.17,0.0,13,0.7,40.6,0
29B,22,1,0.308,9.4,1.63,0.0,14,0.7,24.0,0
29B,18,0,0.901,18.8,4.75,0.0,10,0.7,34.3,1
5C,18,1,1.018,19.7,4.9,0.0,12,0.85,27.0,3
27D,10,0,0.921,14.0,3.1,0.0,13,0.75,23.7,0
32B,15,0,0.2,6.5,1.68,0.0,14,0.68,27.8,0
12E,5,0,0.2,7.0,1.84,0.0,13,0.88,23.3,0
104,9,0,0.945,9.5,3.79,0.0,16,0.8,23.5,1
70,11,0,0.664,7.2,1.25,0.0,15,0.86,41.6,0
102,22,0,0.382,14.6,1.97,0.0,8,0.65,39.2,0
101,13,0,0.601,6.4,1.72,0.0,15,0.85,37.3,0
102,1,1,0.243,8.8,1.61,0.0,11,0.65,27.8,0
29C,0,0,0.318,9.3,1.84,0.0,10,0.88,34.2,0
11D,18,0,1.096,20.6,4.78,0.0,12,0.7,32.7,2
19C,1,0,0.2,9.1,1.66,0.0,10,0.78,33.6,0
9A,14,1,0.603,9.0,1.8,0.0,15,0.93,31.5,0
M70,7,0,0.853,13.3,3.61,0.0,14,0.6,31.5,1
19C,4,1,0.2,3.2,1.0,0.0,15,0.78,26.1,0
23C,7,0,0.943,16.4,3.68,0.0,11,0.92,34.7,3
5C,1,1,0.2,6.4,1.06,0.35,12,0.85,36.8,0
5C,18,0,1.259,16.9,4.46,0.0,15,0.85,30.7,4
101,10,1,0.645,9.7,2.83,0.0,13,0.85,26.9,0
15G,15,0,0.668,5.6,1.49,0.0,10,0.72,24.4,0
29B,13,1,0.25,9.6,2.42,0.0,14,0.7,33.7,0
47A,16,0,0.785,5.0,1.34,0.0,17,0.95,28.2,0
102,1,1,0.2,4.7,1.0,0.0,12,0.65,31.5,0
19C,3,1,0.2,12.0,1.94,0.0,10,0.78,23.4,0
23C,11,0,0.999,4.9,1.59,0.0,14,0.92,32.1,1
11D,18,0,1.162,16.7,4.04,0.0,14,0.7,41.5,5
19C,20,0,1.096,18.4,3.43,0.38,9,0.78,25.7,2
21G,8,0,1.256,20.5,4.77,0.0,13,0.92,30.7,4
23C,11,0,0.393,7.3,1.61,0.17,16,0.92,27.6,0
5C,23,0,0.522,6.9,1.63,0.0,10,0.85,25.1,0
11D,5,0,0.2,6.2,1.56,0.0,12,0.7,41.3,0
12E,18,0,1.096,20.4,5.0,0.0,12,0.88,27.2,5
23C,18,1,1.041,18.5,4.71,0.55,15,0.92,24.1,4
101,9,1,1.029,15.2,3.57,0.0,12,0.85,32.3,4
104,12,1,0.4,13.3,2.43,0.0,10,0.8,24.9,0
M70,21,0,0.887,4.5,1.53,0.24,13,0.6,24.6,2
9A,8,0,1.379,19.6,5.0,0.41,14,0.93,27.3,4
12E,22,0,0.345,4.8,1.0,0.0,13,0.88,22.1,0
19C,6,0,0.63,7.7,1.57,0.0,14,0.78,30.1,0
9A,18,0,1.087,22.2,4.8,0.0,16,0.93,38.3,4
101,2,1,0.302,2.5,1.14,0.0,12,0.85,32.9,0
23C,9,0,1.199,16.6,3.9,0.0,12,0.92,24.8,5
23C,23,1,0.572,5.1,1.4,0.0,11,0.92,29.2,0
19C,7,0,1.199,12.7,3.36,0.0,9,0.78,35.9,4
45A,10,1,0.925,10.1,2.73,0.0,12,0.91,32.6,1
21C,7,0,0.943,19.3,3.85,0.0,15,0.9,32.4,3
102,12,0,0.658,13.4,2.91,0.0,8,0.65,23.1,0
29C,11,0,0.853,7.0,1.26,0.0,11,0.88,30.8,0
27D,4,1,0.2,9.3,1.82,0.0,10,0.75,34.8,0
5C,18,0,1.187,17.9,4.26,0.0,11,0.85,33.7,5
47A,12,0,0.628,8.8,2.42,0.0,17,0.95,36.8,0
11D,6,0,0.608,7.1,1.23,0.1,9,0.7,31.3,0
70,10,0,1.124,8.6,2.6,0.0,12,0.86,29.0,5
23C,10,0,1.409,11.7,3.12,0.0,14,0.92,29.2,5
19C,9,0,0.957,14.6,4.17,0.0,12,0.78,40.6,3
12E,15,0,0.467,2.2,1.0,0.0,14,0.88,23.1,0
5C,14,0,0.797,6.6,1.94,0.0,14,0.85,41.5,0
29C,22,0,0.598,9.0,1.66,0.0,15,0.88,39.5,0
27D,0,0,0.255,3.5,1.39,0.0,13,0.75,22.5,0
70,7,1,0.655,14.1,3.03,0.0,16,0.86,36.5,0
23C,19,0,1.314,18.6,4.62,0.0,17,0.92,22.3,5
32B,20,0,0.677,15.2,3.94,0.0,9,0.68,38.8,0
27D,22,0,0.345,9.0,1.34,0.1,9,0.75,24.1,0
29B,5,0,0.213,9.2,2.02,0.0,15,0.7,31.9,0
29C,19,0,1.326,19.6,4.71,0.0,10,0.88,37.5,5
19C,12,1,0.424,8.9,2.32,0.0,12,0.78,37.1,0
104,21,1,0.989,7.5,1.24,0.0,11,0.8,28.2,3
5C,2,0,0.368,9.1,1.44,0.0,10,0.85,25.4,0
23C,19,0,1.331,13.7,4.41,0.1,16,0.92,32.3,5
21C,4,0,0.2,4.8,1.64,0.0,15,0.9,26.7,0
101,17,0,1.344,19.9,4.04,0.0,11,0.85,34.6,5
21G,15,0,0.411,8.8,1.41,0.0,12,0.92,41.6,0
29B,6,0,0.339,12.8,1.98,0.19,12,0.7,30.8,0
29B,4,1,0.2,11.0,1.55,0.0,9,0.7,27.4,0
101,13,0,0.766,9.9,2.27,0.0,11,0.85,34.5,0
21G,11,1,0.618,6.2,1.43,0.0,12,0.92,38.4,0
12E,12,0,0.743,11.0,2.67,0.0,13,0.88,37.4,0
5C,21,1,0.774,5.6,1.3,0.0,12,0.85,38.3,0
9A,1,1,0.218,7.2,1.3,0.0,11,0.93,24.8,0
9A,1,0,0.2,5.4,1.79,0.0,16,0.93,34.2,0
102,1,0,0.2,8.0,1.49,0.0,13,0.65,22.7,0
12E,10,0,1.355,9.7,2.71,0.43,14,0.88,36.7,5
27D,1,0,0.525,2.0,1.23,0.54,10,0.75,26.0,0
M70,8,0,0.804,17.8,4.35,0.41,12,0.6,27.2,0
11D,0,0,0.224,7.5,1.98,0.0,10,0.7,29.2,0
M70,0,0,0.2,11.6,2.61,0.1,11,0.6,26.9,0
12E,13,0,0.738,6.4,1.75,0.52,16,0.88,28.0,0
9A,14,0,1.06,7.9,1.37,0.16,11,0.93,26.9,3
23C,4,1,0.2,2.7,1.08,0.0,15,0.92,41.8,0
29B,21,1,0.721,4.2,1.09,0.0,14,0.7,24.1,0
104,1,0,0.349,9.6,1.76,0.15,10,0.8,34.5,0
21C,20,1,0.661,15.4,3.53,0.0,14,0.9,26.0,0
5C,8,1,0.844,17.5,4.72,0.0,12,0.85,33.5,0
32B,4,1,0.585,6.5,1.59,0.0,8,0.68,41.1,0
70,5,0,0.2,12.9,1.92,0.0,10,0.86,25.0,0
21C,0,0,0.327,9.6,1.62,0.0,13,0.9,33.7,0
M70,12,0,0.528,13.4,2.77,0.0,11,0.6,31.1,0
21C,7,0,1.282,18.0,4.21,0.0,15,0.9,24.6,5
101,12,1,0.648,12.9,2.35,0.16,11,0.85,24.5,0
29C,2,0,0.306,5.2,1.91,0.0,10,0.88,29.2,0
70,18,1,1.008,19.5,4.54,0.0,11,0.86,38.6,2
9A,0,1,0.2,6.2,1.66,0.2,13,0.93,31.2,0
21G,15,0,0.664,7.0,1.35,0.0,13,0.92,29.5,0
21G,8,0,1.426,17.5,4.48,0.0,11,0.92,22.4,5
70,5,0,0.209,8.6,1.55,0.18,16,0.86,28.4,0
15G,16,0,0.44,7.1,1.15,0.0,10,0.72,40.5,0
101,13,0,0.986,14.0,2.7,0.5,12,0.85,39.3,3
23C,22,0,0.766,4.7,1.35,0.0,13,0.92,32.8,0
19C,1,0,0.305,9.4,2.06,0.0,11,0.78,29.2,0
27D,10,1,0.731,15.9,3.66,0.0,10,0.75,41.9,0
102,11,0,0.691,9.6,1.85,0.0,13,0.65,22.3,0
11D,4,0,0.2,5.9,1.49,0.0,9,0.7,35.0,0
101,0,0,0.2,9.9,1.17,0.0,15,0.85,25.4,0
11D,1,0,0.2,10.5,1.96,0.0,9,0.7,29.8,0
21G,13,0,0.721,6.9,2.21,0.0,16,0.92,26.9,0
19C,11,0,0.429,8.1,1.69,0.0,12,0.78,37.3,0
15G,17,0,1.0,15.0,4.26,0.46,15,0.72,38.0,4
27D,6,0,0.402,4.5,1.35,0.0,14,0.75,32.1,0
12E,4,0,0.2,7.7,1.33,0.0,13,0.88,39.9,0
M70,13,0,0.648,16.1,2.45,0.0,8,0.6,25.3,0
15G,19,0,0.99,20.1,4.68,0.0,11,0.72,33.0,3
45A,13,0,0.562,8.7,2.2,0.0,16,0.91,31.2,0
29C,1,0,0.483,10.3,1.35,0.28,11,0.88,27.1,0
21C,14,1,0.773,8.4,1.92,0.0,15,0.9,36.3,0
21C,7,0,1.156,16.2,3.83,0.0,11,0.9,41.0,4
70,17,1,0.609,17.0,3.59,0.0,16,0.86,22.4,0
29C,7,0,1.235,10.8,3.37,0.0,14,0.88,32.5,5
21G,0,0,0.223,3.7,1.0,0.0,15,0.92,36.5,0
5C,9,0,1.293,14.8,3.83,0.0,16,0.85,31.3,4
21G,16,1,0.2,7.3,1.73,0.0,14,0.92,36.9,0
27D,0,0,0.2,6.9,1.0,0.0,13,0.75,38.1,0
70,15,1,0.445,9.2,2.07,0.0,10,0.86,30.9,0
27D,8,0,1.08,18.9,4.56,0.0,12,0.75,31.1,5
45A,7,0,1.055,13.8,3.16,0.0,14,0.91,34.1,4
11D,22,1,0.447,10.6,1.59,0.0,9,0.7,36.7,0
29B,12,0,0.566,9.1,2.62,0.0,14,0.7,37.0,0
32B,16,1,0.2,6.0,1.49,0.0,14,0.68,33.0,0
101,19,1,0.503,17.1,4.62,0.0,15,0.85,37.0,0
19C,11,0,0.831,5.0,1.35,0.12,12,0.78,27.2,0
5C,17,0,1.315,17.2,3.98,0.0,15,0.85,40.8,4
19C,20,1,1.043,19.0,4.2,0.0,11,0.78,36.3,4
70,18,0,1.178,22.4,4.98,0.0,11,0.86,23.3,5
19C,1,0,0.2,9.7,2.51,0.0,13,0.78,28.9,0
19C,11,1,0.838,7.1,1.46,0.56,14,0.78,35.0,0
9A,14,1,0.568,5.9,1.09,0.0,15,0.93,29.2,0
104,14,0,0.921,9.6,2.06,0.0,11,0.8,25.3,0
19C,12,0,0.805,10.7,1.95,0.22,9,0.78,41.7,0
102,8,0,0.628,21.1,4.68,0.0,11,0.65,29.0,0
5C,6,0,0.647,9.3,2.04,0.0,10,0.85,26.2,0
47A,15,0,0.821,5.4,1.28,0.31,15,0.95,40.5,0
M70,6,1,0.252,7.3,1.21,0.0,11,0.6,41.3,0
M70,8,0,0.952,17.5,4.29,0.0,10,0.6,37.0,0
11D,4,0,0.348,6.5,1.15,0.0,13,0.7,33.9,0
47A,22,0,0.63,8.8,1.36,0.0,16,0.95,29.7,0
M70,19,0,0.772,19.2,4.48,0.13,10,0.6,35.4,0
32B,16,0,0.313,6.4,1.59,0.0,9,0.68,25.5,0
29B,14,0,0.709,2.0,1.0,0.19,13,0.7,38.1,0
47A,9,0,1.266,19.9,4.69,0.0,14,0.95,39.4,5
11D,4,0,0.2,4.4,1.62,0.0,13,0.7,28.1,0
12E,5,0,0.2,4.9,1.36,0.0,13,0.88,36.9,0
M70,10,1,0.515,19.4,3.4,0.14,9,0.6,37.9,0
12E,2,0,0.295,6.6,1.38,0.0,14,0.88,23.8,0
101,17,0,1.066,17.4,3.78,0.0,11,0.85,29.2,4
47A,20,1,1.015,13.8,4.17,0.1,16,0.95,39.5,5
11D,15,0,0.2,7.6,1.64,0.0,14,0.7,22.4,0
5C,16,0,0.354,8.7,1.71,0.0,13,0.85,38.0,0
15G,13,0,0.51,7.2,1.9,0.0,10,0.72,38.2,0
47A,16,0,0.498,5.7,2.05,0.0,14,0.95,39.0,0
21C,8,0,1.187,19.7,4.18,0.0,11,0.9,38.5,5
M70,8,0,0.653,14.8,4.11,0.0,14,0.6,37.4,0
5C,6,1,0.2,9.1,2.26,0.0,15,0.85,39.2,0
45A,19,0,1.102,16.7,4.16,0.0,12,0.91,33.3,4
11D,17,1,0.658,19.0,3.55,0.0,9,0.7,31.5,0
21C,9,0,1.158,14.6,4.28,0.0,17,0.9,33.7,5
19C,8,0,1.252,20.0,4.47,0.0,9,0.78,27.7,4
32B,3,0,0.39,7.0,1.38,0.18,13,0.68,25.1,0
5C,17,0,0.893,17.7,3.91,0.0,16,0.85,39.5,0
47A,13,1,0.452,7.0,1.93,0.0,15,0.95,24.1,0
5C,15,0,0.44,4.9,1.35,0.0,15,0.85,31.3,0
21G,14,1,0.716,4.0,1.37,0.0,15,0.92,23.0,0
21G,10,1,0.831,10.7,2.66,0.0,16,0.92,38.2,0
19C,9,1,0.804,17.0,4.46,0.0,14,0.78,25.9,0
15G,15,0,0.401,8.6,1.77,0.0,13,0.72,29.3,0
104,14,0,0.665,4.1,1.42,0.0,12,0.8,31.0,0
12E,13,1,0.376,4.2,1.51,0.0,12,0.88,40.2,0
M70,23,1,0.28,9.0,1.82,0.36,9,0.6,27.3,0
9A,12,1,0.417,8.9,2.0,0.0,12,0.93,36.1,0
5C,8,0,1.259,16.4,3.97,0.0,13,0.85,40.6,5
19C,12,1,0.437,13.7,3.35,0.0,13,0.78,31.8,0
27D,9,1,0.654,19.3,4.46,0.0,9,0.75,22.8,0
29B,2,1,0.2,2.0,1.0,0.0,9,0.7,41.6,0
102,19,0,0.992,20.7,4.09,0.0,10,0.65,32.6,2
45A,11,1,0.952,6.2,1.62,0.34,12,0.91,30.5,2
104,16,0,0.677,4.6,1.39,0.0,14,0.8,28.1,0
9A,0,0,0.2,6.4,1.76,0.0,16,0.93,30.9,0
29B,11,1,0.617,12.1,2.15,0.0,11,0.7,41.1,0
104,21,0,1.078,7.4,1.55,0.0,15,0.8,39.0,5
M70,14,0,0.654,7.9,1.62,0.0,13,0.6,27.9,0
70,21,0,1.512,8.8,1.54,0.0,10,0.86,28.1,5
27D,15,0,0.769,9.2,1.62,0.12,12,0.75,40.2,0
21G,6,0,0.635,8.8,1.7,0.0,15,0.92,24.0,0
70,4,0,0.394,6.6,1.32,0.0,16,0.86,22.4,0
29C,8,1,0.727,21.1,4.8,0.0,12,0.88,31.9,0
102,11,1,0.514,6.9,2.02,0.0,11,0.65,31.1,0
102,11,1,0.505,5.4,1.33,0.0,10,0.65,40.7,0
29B,19,1,0.844,20.4,4.46,0.0,9,0.7,32.5,0
29B,18,0,0.883,13.2,4.28,0.0,14,0.7,31.2,2
45A,11,0,0.688,7.7,1.99,0.0,17,0.91,32.0,0
15G,2,0,0.2,5.4,1.43,0.0,12,0.72,35.0,0
11D,23,0,0.47,7.0,1.0,0.0,10,0.7,24.5,0
19C,9,0,0.998,16.9,4.36,0.0,13,0.78,31.7,2
15G,9,1,0.621,15.2,3.81,0.0,14,0.72,35.8,0
70,4,1,0.295,4.5,1.76,0.41,15,0.86,37.0,0
101,7,0,1.202,15.9,3.77,0.0,15,0.85,34.5,5
9A,12,1,0.912,10.7,2.35,0.0,12,0.93,37.1,1
11D,20,0,0.86,15.2,3.62,0.0,9,0.7,38.4,1
32B,18,0,0.874,12.6,3.93,0.0,9,0.68,34.2,0
12E,13,0,0.682,11.6,2.29,0.0,14,0.88,38.2,0
104,23,0,0.258,5.8,1.5,0.0,13,0.8,31.7,0
29B,14,0,0.768,9.2,1.18,0.0,14,0.7,31.7,0
21C,15,1,0.381,3.7,1.07,0.0,16,0.9,24.7,0
15G,5,0,0.305,9.8,1.7,0.24,10,0.72,24.1,0
5C,16,1,0.286,6.4,1.28,0.0,15,0.85,32.9,0
21G,13,0,0.77,9.8,2.13,0.0,11,0.92,32.9,0
29B,21,1,0.893,8.0,1.19,0.0,15,0.7,38.5,1
M70,14,0,0.702,7.9,1.83,0.0,12,0.6,40.6,0
102,9,0,1.011,15.7,3.94,0.0,13,0.65,29.1,1
23C,1,0,0.2,6.4,1.0,0.0,12,0.92,23.9,0
21C,0,0,0.206,9.1,1.25,0.0,11,0.9,39.1,0
29C,7,1,0.78,16.4,3.84,0.0,13,0.88,24.1,0
21C,9,1,0.706,18.8,4.18,0.0,12,0.9,27.9,0
21G,16,0,0.811,7.0,1.98,0.14,16,0.92,27.3,0
70,5,0,0.234,8.5,1.53,0.0,10,0.86,31.6,0
45A,18,0,1.2,16.8,4.05,0.0,12,0.91,33.5,4
11D,2,0,0.2,5.5,1.01,0.0,11,0.7,38.6,0
21G,12,0,1.055,7.4,2.04,0.0,16,0.92,40.8,2
32B,16,0,0.345,9.6,1.59,0.0,9,0.68,36.1,0
21C,11,0,0.733,8.0,1.4,0.0,11,0.9,39.1,0
102,15,1,0.5,8.3,1.94,0.0,9,0.65,25.3,0
70,12,0,0.972,8.9,2.14,0.0,14,0.86,38.8,2
101,17,0,0.848,16.0,3.76,0.0,14,0.85,33.2,0
102,15,0,0.477,2.0,1.0,0.1,14,0.65,33.7,0
23C,2,1,0.2,6.6,1.64,0.0,17,0.92,28.1,0
70,17,1,0.879,13.5,3.12,0.0,10,0.86,25.9,0
23C,20,0,1.653,19.6,4.02,0.0,12,0.92,27.7,5
19C,0,1,0.2,8.9,1.99,0.0,13,0.78,31.0,0
101,0,0,0.432,6.2,1.7,0.0,14,0.85,39.9,0
29B,5,0,0.2,7.3,1.69,0.11,14,0.7,40.0,0
21C,12,1,0.639,12.1,2.64,0.0,11,0.9,30.0,0
11D,19,0,0.873,18.8,4.74,0.0,15,0.7,23.6,0
11D,0,1,0.217,9.0,1.67,0.0,12,0.7,32.9,0
47A,4,0,0.304,3.1,1.06,0.0,12,0.95,27.1,0
21C,0,0,0.249,7.6,1.49,0.2,11,0.9,33.2,0
101,13,1,0.858,8.4,1.37,0.0,11,0.85,27.2,1
104,14,0,0.244,6.5,1.29,0.0,13,0.8,27.8,0
21C,1,1,0.2,9.7,1.65,0.0,11,0.9,38.6,0
29B,22,1,0.2,10.4,2.19,0.0,15,0.7,32.9,0
23C,21,0,1.05,4.6,1.04,0.0,16,0.92,36.4,5
19C,10,1,0.656,10.4,3.06,0.0,14,0.78,30.2,0
23C,10,1,0.907,12.6,3.52,0.0,13,0.92,35.5,1
21C,0,0,0.208,5.2,1.54,0.0,12,0.9,33.6,0
21C,14,0,0.52,8.6,1.71,0.0,17,0.9,26.2,0
102,20,0,0.984,14.2,3.41,0.0,11,0.65,40.5,3
11D,7,0,0.992,20.8,3.86,0.0,11,0.7,35.0,1
9A,17,1,1.143,18.8,3.97,0.0,12,0.93,41.5,4
47A,22,0,0.39,7.8,1.55,0.0,11,0.95,28.4,0
47A,23,0,0.746,9.4,1.57,0.0,11,0.95,35.4,0
9A,6,1,0.2,7.6,1.89,0.0,15,0.93,27.5,0
29C,20,0,1.267,13.7,3.35,0.0,14,0.88,40.7,4
5C,12,0,1.014,12.2,2.63,0.45,15,0.85,28.2,3
27D,0,0,0.2,7.8,1.24,0.34,12,0.75,24.0,0
32B,22,0,0.355,5.8,1.1,0.0,11,0.68,23.8,0
